rank,symbol,company,market_cap,sector,industry,country,ipo_year,price,pct_change,alt_symbols
250,MPWR,Monolithic Power Systems Inc.,70029266430.0,Technology,Semiconductors,United States,2004,1425.01,1.633,
251,TGT,Target Corporation,69945431248.0,Consumer Discretionary,Department/Specialty Retail Stores,United States,,154.0,1.123,
252,AMX,America Movil S.A.B. de C.V.,69886395000.0,Telecommunications,Telecommunications Equipment,Mexico,2023,23.22,-0.896,
253,BE,Bloom Energy Corporation,69850105377.0,Energy,Industrial Machinery/Components,United States,2018,237.16,12.286,
254,COHR,Coherent Corp.,69577168120.0,Technology,Electronic Components,United States,,355.64,8.239,
255,WBD,Warner Bros. Discovery Inc. Series A,69420946632.0,Telecommunications,Cable & Other Pay Television Services,United States,,27.65,2.143,
256,PCAR,PACCAR Inc.,68985390740.0,Industrials,Auto Manufacturing,United States,,131.06,-0.847,
257,TDG,Transdigm Group Incorporated,68293041107.0,Industrials,Military/Government/Technical,United States,2006,1235.48,-0.528,
258,B,Barrick Mining Corporation,67859814595.0,Basic Materials,Precious Metals,Canada,,41.23,2.741,
259,AEP,American Electric Power Company Inc.,67859129927.0,Utilities,Electric Utilities: Central,United States,,124.65,0.866,
260,APD,Air Products and Chemicals Inc.,67711989107.0,Basic Materials,Major Chemicals,United States,,304.07,-1.694,
261,NU,Nu Holdings Ltd.,65842934450.0,Finance,Finance: Consumer Services,Cayman Islands,2021,13.56,-0.659,
262,NBIS,Nebius Group N.V.,65810411885.0,Technology,Computer Software: Programming Data Processing,Netherlands,2011,259.2,34.141,
263,RSG,Republic Services Inc.,65609192666.0,Utilities,Environmental Services,United States,1998,214.26,-0.381,
264,CRH,CRH PLC,65588570942.0,Industrials,Building Materials,Ireland,,97.99,-3.258,
265,AJG,Arthur J. Gallagher & Co.,65474398000.0,Finance,Specialty Insurers,United States,,255.46,0.769,
266,ALL,The Allstate Corporation,64691177928.0,Finance,Property-Casualty Insurers,United States,,255.84,-2.437,
267,TFC,Truist Financial Corporation,64343051322.0,Finance,Major Banks,United States,,52.67,0.688,
268,BKR,Baker Hughes Company,63809089284.0,Consumer Discretionary,Oil and Gas Field Machinery,United States,,64.28,-0.818,
269,TRP,TC Energy Corporation,63610000000.0,Utilities,Natural Gas Distribution,Canada,,63.61,-0.047,
270,IMO,Imperial Oil Limited,63089542780.0,Energy,Integrated oil Companies,Canada,1929,130.46,0.695,
271,RELX,RELX PLC PLC,63018422452.0,Consumer Discretionary,Business Services,United Kingdom,2015,34.55,-2.318,
272,TER,Teradyne Inc.,62964673655.0,Industrials,Electrical Products,United States,,402.74,6.107,
273,TEL,TE Connectivity plc,62013733438.0,Technology,Electronic Components,Ireland,,214.2,-2.053,
274,NUE,Nucor Corporation,61902267620.0,Industrials,Steel/Iron Ore,United States,,271.81,-0.051,
275,VALE,VALE S.A.,61566396970.0,Basic Materials,Metal Mining,Brazil,,14.42,0.698,
276,GWW,W.W. Grainger Inc.,61461077197.0,Industrials,Office Equipment/Supplies/Services,United States,,1304.88,0.226,
277,MET,MetLife Inc.,61425199764.0,Finance,Life Insurance,United States,2000,96.66,-0.145,
278,WPM,Wheaton Precious Metals Corp,61257096484.0,Basic Materials,Precious Metals,Canada,,134.88,0.35,
279,FIX,Comfort Systems USA Inc.,61196603152.0,Industrials,Engineering & Construction,United States,1997,1738.82,3.008,
280,CIEN,Ciena Corporation,61157939950.0,Utilities,Telecommunications Equipment,United States,1997,432.05,11.488,
281,KEYS,Keysight Technologies Inc.,60582407956.0,Industrials,Industrial Machinery/Components,United States,2014,354.5,3.142,
282,AFL,AFLAC Incorporated,60527176368.0,Finance,Accident &Health Insurance,United States,,120.73,-0.281,
283,NKE,Nike Inc.,60096532459.0,Consumer Discretionary,Shoe Manufacturing,United States,,40.51,-1.96,
284,COR,Cencora Inc.,59952170428.0,Health Care,Other Pharmaceuticals,United States,,314.17,-5.901,
285,FAST,Fastenal Company,59922323262.0,Consumer Discretionary,RETAIL: Building Materials,United States,1987,52.22,-0.305,
286,D,Dominion Energy Inc.,59842945570.0,Utilities,Electric Utilities: Central,United States,,68.04,-0.088,
287,GRMN,Garmin Ltd.,59780429109.0,Industrials,Industrial Machinery/Components,Switzerland,2000,309.98,0.107,
288,AME,AMETEK Inc.,59268616799.0,Industrials,Industrial Machinery/Components,United States,,258.52,0.866,
289,NOK,Nokia Corporation,59259913663.0,Technology,Radio And Television Broadcasting And Communications Equipment,Finland,1994,10.32,9.322,
290,O,Realty Income Corporation,59223786685.0,Real Estate,Real Estate Investment Trusts,United States,,62.59,1.131,
291,DAL,Delta Air Lines Inc.,59140039088.0,Consumer Discretionary,Air Freight/Delivery Services,United States,,89.93,-0.531,
292,NXPI,NXP Semiconductors N.V.,58857639853.0,Technology,Semiconductors,Netherlands,2010,233.41,-1.256,
293,CRWV,CoreWeave Inc.,58774293375.0,Technology,Computer Software: Prepackaged Software,United States,2025,107.73,19.276,
294,OXY,Occidental Petroleum Corporation,58528768072.0,Energy,Oil & Gas Production,United States,,58.55,-0.864,
295,CBRS,Cerebras Systems Inc.,58400219588.0,Technology,Semiconductors,United States,2026,262.06,11.629,
296,OKE,ONEOK Inc.,58290283107.0,Utilities,Oil & Gas Production,United States,,92.47,1.038,
297,TRGP,Targa Resources Inc.,57611182412.0,Utilities,Natural Gas Distribution,United States,2010,268.67,1.213,
298,PSA,Public Storage,56827486540.0,Real Estate,Real Estate Investment Trusts,United States,,323.58,-0.468,
299,CVE,Cenovus Energy Inc,56568750000.0,Energy,Oil & Gas Production,Canada,,30.17,1.106,
300,MT,Arcelor Mittal NY Registry Shares NEW,56460313253.0,Industrials,Steel/Iron Ore,Luxembourg,,74.18,0.638,
